REG,OVR_FLTS,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM
BRA,,2019-05-27T00:00:00Z,1917,1918,193,3272,370,1745,1747
BRA,,2019-05-28T00:00:00Z,1874,1893,195,3240,332,1709,1723
BRA,,2019-05-29T00:00:00Z,1937,1910,197,3194,456,1795,1781
BRA,,2019-05-30T00:00:00Z,1940,1961,201,3282,418,1775,1782
BRA,,2019-05-31T00:00:00Z,2018,2033,204,3380,467,1842,1861
BRA,,2019-06-01T00:00:00Z,1577,1570,205,2721,221,1403,1388
BRA,,2019-06-02T00:00:00Z,1449,1476,192,2543,190,1267,1302
BRA,,2019-06-03T00:00:00Z,1910,1889,188,3271,340,1734,1714
BRA,,2019-06-04T00:00:00Z,1919,1929,188,3283,377,1757,1767
BRA,,2019-06-05T00:00:00Z,1981,1966,205,3311,431,1815,1801
BRA,,2019-06-06T00:00:00Z,1987,2019,203,3366,437,1827,1850
BRA,,2019-06-07T00:00:00Z,2041,2039,204,3400,476,1863,1866
BRA,,2019-06-08T00:00:00Z,1586,1560,184,2719,243,1423,1385
BRA,,2019-06-09T00:00:00Z,1485,1530,189,2578,248,1306,1359
BRA,,2019-06-10T00:00:00Z,1948,1943,189,3314,388,1776,1770
BRA,,2019-06-11T00:00:00Z,1882,1878,179,3172,409,1724,1728
BRA,,2019-06-12T00:00:00Z,1932,1951,193,3271,419,1767,1795
BRA,,2019-06-13T00:00:00Z,1981,2012,196,3323,474,1819,1836
BRA,,2019-06-14T00:00:00Z,2117,2112,204,3483,542,1938,1940
BRA,,2019-06-15T00:00:00Z,1656,1608,200,2806,258,1481,1424
BRA,,2019-06-16T00:00:00Z,1478,1528,190,2595,221,1302,1354
BRA,,2019-06-17T00:00:00Z,1968,1950,187,3370,361,1794,1781
BRA,,2019-06-18T00:00:00Z,2003,2021,196,3387,441,1835,1850
BRA,,2019-06-19T00:00:00Z,2072,2123,198,3478,519,1900,1941
BRA,,2019-06-20T00:00:00Z,1910,1891,200,3198,403,1734,1703
BRA,,2019-06-21T00:00:00Z,1354,1337,209,2199,283,1176,1165
BRA,,2019-06-22T00:00:00Z,1193,1198,192,2003,196,1023,1013
BRA,,2019-06-23T00:00:00Z,1617,1657,201,2724,349,1397,1463
BRA,,2019-06-24T00:00:00Z,2046,2008,185,3490,379,1862,1830
BRA,,2019-06-25T00:00:00Z,1977,1999,196,3401,379,1795,1818
BRA,,2019-06-26T00:00:00Z,1946,1950,206,3335,355,1770,1775
BRA,,2019-06-27T00:00:00Z,2048,2046,198,3428,468,1881,1874
BRA,,2019-06-28T00:00:00Z,2079,2102,210,3478,493,1892,1919
BRA,,2019-06-29T00:00:00Z,1671,1630,209,2820,272,1495,1427
BRA,,2019-06-30T00:00:00Z,1503,1564,192,2622,253,1314,1377
BRA,,2019-07-01T00:00:00Z,1992,1988,190,3420,370,1819,1811
BRA,,2019-07-02T00:00:00Z,2035,2025,201,3502,357,1839,1844
BRA,,2019-07-03T00:00:00Z,2070,2072,194,3552,396,1893,1887
BRA,,2019-07-04T00:00:00Z,2080,2072,209,3530,413,1897,1891
BRA,,2019-07-05T00:00:00Z,2076,2126,220,3562,420,1902,1938
BRA,,2019-07-06T00:00:00Z,1781,1755,203,3051,282,1593,1553
BRA,,2019-07-07T00:00:00Z,1581,1625,201,2812,193,1386,1440
BRA,,2019-07-08T00:00:00Z,2034,2020,201,3522,331,1845,1836
BRA,,2019-07-09T00:00:00Z,2033,2016,204,3456,389,1850,1838
BRA,,2019-07-10T00:00:00Z,2075,2056,202,3538,391,1899,1873
BRA,,2019-07-11T00:00:00Z,2061,2080,207,3545,389,1879,1898
BRA,,2019-07-12T00:00:00Z,2116,2124,207,3584,449,1930,1944
BRA,,2019-07-13T00:00:00Z,1774,1750,207,3076,241,1593,1545
BRA,,2019-07-14T00:00:00Z,1637,1657,197,2875,222,1441,1476
BRA,,2019-07-15T00:00:00Z,2045,2043,193,3563,332,1859,1864
BRA,,2019-07-16T00:00:00Z,2066,2090,203,3579,374,1888,1906
BRA,,2019-07-17T00:00:00Z,2118,2120,203,3624,411,1934,1937
BRA,,2019-07-18T00:00:00Z,2148,2153,208,3675,418,1961,1970
BRA,,2019-07-19T00:00:00Z,2143,2174,212,3670,435,1964,1988
BRA,,2019-07-20T00:00:00Z,1770,1730,195,3068,237,1586,1537
BRA,,2019-07-21T00:00:00Z,1648,1679,197,2884,246,1468,1495
BRA,,2019-07-22T00:00:00Z,2036,2029,203,3535,327,1838,1841
BRA,,2019-07-23T00:00:00Z,2090,2069,203,3612,344,1908,1891
BRA,,2019-07-24T00:00:00Z,2087,2088,199,3622,354,1902,1898
BRA,,2019-07-25T00:00:00Z,2123,2157,206,3698,376,1935,1971
BRA,,2019-07-26T00:00:00Z,2161,2161,215,3643,464,1967,1973
BRA,,2019-07-27T00:00:00Z,1782,1757,205,3107,227,1596,1554
BRA,,2019-07-28T00:00:00Z,1673,1685,205,2930,223,1463,1504
BRA,,2019-07-29T00:00:00Z,2047,2038,191,3552,342,1862,1854
BRA,,2019-07-30T00:00:00Z,2108,2104,207,3610,395,1914,1915
BRA,,2019-07-31T00:00:00Z,2094,2124,202,3620,396,1912,1932
BRA,,2019-08-01T00:00:00Z,2079,2076,202,3504,449,1889,1894
BRA,,2019-08-02T00:00:00Z,2076,2071,214,3551,382,1882,1889
BRA,,2019-08-03T00:00:00Z,1676,1643,207,2925,187,1497,1447
BRA,,2019-08-04T00:00:00Z,1598,1626,199,2811,214,1402,1442
BRA,,2019-08-05T00:00:00Z,2001,1995,185,3459,352,1829,1820
BRA,,2019-08-06T00:00:00Z,2103,2082,208,3493,484,1924,1910
BRA,,2019-08-07T00:00:00Z,2032,2046,203,3466,409,1859,1874
BRA,,2019-08-08T00:00:00Z,2103,2101,204,3551,449,1927,1924
BRA,,2019-08-09T00:00:00Z,2140,2154,213,3553,528,1961,1972
BRA,,2019-08-10T00:00:00Z,1763,1690,204,2961,288,1583,1497
BRA,,2019-08-11T00:00:00Z,1607,1649,195,2818,243,1418,1469
BRA,,2019-08-12T00:00:00Z,2013,2000,185,3488,340,1835,1826
BRA,,2019-08-13T00:00:00Z,2058,2066,203,3520,401,1888,1892
BRA,,2019-08-14T00:00:00Z,2097,2089,197,3511,478,1924,1921
BRA,,2019-08-15T00:00:00Z,2139,2148,207,3558,522,1962,1971
BRA,,2019-08-16T00:00:00Z,2145,2214,207,3597,555,1976,2042
BRA,,2019-08-17T00:00:00Z,1736,1707,212,2976,255,1558,1518
BRA,,2019-08-18T00:00:00Z,1605,1641,194,2811,241,1422,1469
BRA,,2019-08-19T00:00:00Z,2028,2008,193,3499,344,1846,1835
BRA,,2019-08-20T00:00:00Z,2040,2028,193,3515,360,1870,1858
BRA,,2019-08-21T00:00:00Z,2072,2105,194,3556,427,1898,1931
BRA,,2019-08-22T00:00:00Z,2091,2120,200,3480,531,1921,1933
BRA,,2019-08-23T00:00:00Z,2127,2148,209,3558,508,1953,1974
BRA,,2019-08-24T00:00:00Z,1753,1697,200,2963,287,1574,1510
BRA,,2019-08-25T00:00:00Z,1622,1664,195,2822,269,1435,1496
BRA,,2019-08-26T00:00:00Z,2019,2008,191,3458,378,1842,1837
BRA,,2019-08-27T00:00:00Z,2062,2054,201,3472,443,1898,1882
BRA,,2019-08-28T00:00:00Z,2076,2084,188,3513,459,1900,1911
BRA,,2019-08-29T00:00:00Z,2104,2135,203,3582,454,1925,1951
BRA,,2019-08-30T00:00:00Z,2118,2117,207,3540,488,1943,1944
BRA,,2019-08-31T00:00:00Z,1691,1654,195,2923,227,1516,1464
BRA,,2019-09-01T00:00:00Z,1591,1623,196,2792,226,1407,1455
BRA,,2019-09-02T00:00:00Z,2061,2053,197,3590,327,1888,1883
BRA,,2019-09-03T00:00:00Z,2032,2049,190,3529,362,1871,1886
BRA,,2019-09-04T00:00:00Z,2085,2074,189,3595,375,1921,1914
BRA,,2019-09-05T00:00:00Z,2071,2106,199,3561,417,1908,1929
BRA,,2019-09-06T00:00:00Z,2139,2122,205,3641,415,1967,1954
BRA,,2019-09-07T00:00:00Z,1778,1741,195,3051,273,1607,1556
BRA,,2019-09-08T00:00:00Z,1619,1674,196,2866,231,1431,1495
BRA,,2019-09-09T00:00:00Z,2054,2040,184,3554,356,1876,1874
BRA,,2019-09-10T00:00:00Z,2086,2076,202,3609,351,1912,1901
BRA,,2019-09-11T00:00:00Z,2093,2084,200,3597,380,1924,1915
BRA,,2019-09-12T00:00:00Z,2097,2117,198,3598,418,1930,1946
BRA,,2019-09-13T00:00:00Z,2153,2186,206,3652,481,1979,2007
BRA,,2019-09-14T00:00:00Z,1718,1676,198,2986,210,1537,1485
BRA,,2019-09-15T00:00:00Z,1630,1659,198,2849,242,1439,1479
BRA,,2019-09-16T00:00:00Z,2039,2046,178,3583,324,1866,1879
BRA,,2019-09-17T00:00:00Z,2038,2041,215,3486,378,1874,1870
BRA,,2019-09-18T00:00:00Z,2138,2134,202,3605,465,1970,1961
BRA,,2019-09-19T00:00:00Z,2131,2145,201,3643,432,1962,1976
BRA,,2019-09-20T00:00:00Z,2164,2182,205,3688,453,1986,2002
BRA,,2019-09-21T00:00:00Z,1774,1725,201,3070,228,1600,1538
BRA,,2019-09-22T00:00:00Z,1628,1658,207,2859,220,1441,1483
BRA,,2019-09-23T00:00:00Z,2097,2086,180,3634,369,1924,1921
BRA,,2019-09-24T00:00:00Z,2093,2086,200,3594,385,1927,1924
BRA,,2019-09-25T00:00:00Z,2106,2092,206,3609,383,1939,1926
BRA,,2019-09-26T00:00:00Z,2109,2145,202,3609,443,1943,1985
BRA,,2019-09-27T00:00:00Z,2217,2222,210,3766,463,2051,2046
BRA,,2019-09-28T00:00:00Z,1845,1807,201,3197,254,1674,1623
BRA,,2019-09-29T00:00:00Z,1705,1740,216,2945,284,1522,1566
BRA,,2019-09-30T00:00:00Z,2120,2121,192,3678,371,1955,1957
BRA,,2019-10-01T00:00:00Z,2123,2120,204,3643,396,1948,1956
BRA,,2019-10-02T00:00:00Z,2145,2148,194,3717,382,1979,1985
BRA,,2019-10-03T00:00:00Z,2180,2191,202,3747,422,2023,2023
BRA,,2019-10-04T00:00:00Z,2191,2211,205,3786,411,2024,2042
BRA,,2019-10-05T00:00:00Z,1820,1781,204,3179,218,1652,1595
BRA,,2019-10-06T00:00:00Z,1658,1705,191,2922,250,1489,1539
BRA,,2019-10-07T00:00:00Z,2093,2084,192,3686,299,1929,1920
BRA,,2019-10-08T00:00:00Z,2070,2074,197,3565,382,1908,1920
BRA,,2019-10-09T00:00:00Z,2040,2045,203,3481,401,1883,1879
BRA,,2019-10-10T00:00:00Z,2119,2138,191,3612,454,1960,1966
BRA,,2019-10-11T00:00:00Z,2156,2176,206,3643,483,1993,2008
BRA,,2019-10-12T00:00:00Z,1764,1744,198,3064,246,1609,1564
BRA,,2019-10-13T00:00:00Z,1611,1633,196,2790,258,1422,1458
BRA,,2019-10-14T00:00:00Z,2027,2026,193,3556,304,1856,1862
BRA,,2019-10-15T00:00:00Z,2075,2052,207,3512,408,1911,1887
BRA,,2019-10-16T00:00:00Z,2079,2098,205,3598,374,1909,1931
BRA,,2019-10-17T00:00:00Z,2113,2123,202,3606,428,1953,1960
BRA,,2019-10-18T00:00:00Z,2131,2142,204,3640,429,1960,1979
BRA,,2019-10-19T00:00:00Z,1797,1761,207,3117,234,1623,1580
BRA,,2019-10-20T00:00:00Z,1604,1660,190,2817,257,1431,1494
BRA,,2019-10-21T00:00:00Z,2070,2029,199,3541,359,1900,1861
BRA,,2019-10-22T00:00:00Z,2076,2084,216,3523,421,1910,1923
BRA,,2019-10-23T00:00:00Z,2134,2128,204,3598,460,1969,1965
BRA,,2019-10-24T00:00:00Z,2156,2174,197,3602,531,1992,2005
BRA,,2019-10-25T00:00:00Z,2128,2155,200,3588,495,1952,1987
BRA,,2019-10-26T00:00:00Z,1783,1729,195,3085,232,1619,1551
BRA,,2019-10-27T00:00:00Z,1621,1667,188,2877,223,1451,1502
BRA,,2019-10-28T00:00:00Z,2029,2019,188,3519,341,1861,1858
BRA,,2019-10-29T00:00:00Z,2057,2058,208,3521,386,1892,1894
BRA,,2019-10-30T00:00:00Z,2137,2137,189,3663,422,1974,1969
BRA,,2019-10-31T00:00:00Z,2121,2142,200,3641,422,1955,1971
BRA,,2019-11-01T00:00:00Z,2162,2190,206,3647,499,2000,2023
BRA,,2019-11-02T00:00:00Z,1727,1672,195,2992,212,1561,1502
BRA,,2019-11-03T00:00:00Z,1649,1689,190,2880,268,1473,1520
BRA,,2019-11-04T00:00:00Z,2048,2033,194,3542,345,1883,1870
BRA,,2019-11-05T00:00:00Z,2026,2045,209,3493,369,1861,1882
BRA,,2019-11-06T00:00:00Z,2228,2221,215,3730,504,2062,2059
BRA,,2019-11-07T00:00:00Z,2157,2169,200,3668,458,1987,1994
BRA,,2019-11-08T00:00:00Z,2168,2189,194,3715,448,2004,2024
BRA,,2019-11-09T00:00:00Z,1842,1780,206,3180,236,1677,1599
BRA,,2019-11-10T00:00:00Z,1722,1751,197,2976,300,1540,1585
BRA,,2019-11-11T00:00:00Z,2036,2065,180,3503,418,1871,1906
BRA,,2019-11-12T00:00:00Z,2161,2141,217,3670,415,1987,1984
BRA,,2019-11-13T00:00:00Z,2161,2169,208,3677,445,1988,1998
BRA,,2019-11-14T00:00:00Z,2209,2290,210,3739,550,2040,2088
BRA,,2019-11-15T00:00:00Z,2107,2076,217,3591,375,1936,1891
BRA,,2019-11-16T00:00:00Z,1493,1470,194,2536,233,1331,1295
BRA,,2019-11-17T00:00:00Z,1780,1844,194,2958,472,1583,1673
BRA,,2019-11-18T00:00:00Z,2038,2031,191,3422,456,1861,1857
BRA,,2019-11-19T00:00:00Z,2013,2010,218,3295,510,1839,1837
BRA,,2019-11-20T00:00:00Z,2057,2087,190,3504,450,1900,1923
BRA,,2019-11-21T00:00:00Z,2191,2196,197,3592,598,2017,2017
BRA,,2019-11-22T00:00:00Z,2140,2164,200,3565,539,1960,1977
BRA,,2019-11-23T00:00:00Z,1873,1831,201,3241,262,1693,1647
BRA,,2019-11-24T00:00:00Z,1766,1814,190,3057,333,1567,1632
BRA,,2019-11-25T00:00:00Z,2161,2152,207,3722,384,1977,1974
BRA,,2019-11-26T00:00:00Z,2162,2149,210,3645,456,1988,1980
BRA,,2019-11-27T00:00:00Z,2048,2045,188,3549,356,1894,1891
BRA,,2019-11-28T00:00:00Z,2245,2225,206,3763,501,2084,2065
BRA,,2019-11-29T00:00:00Z,2298,2330,187,3844,597,2134,2169
BRA,,2019-11-30T00:00:00Z,1887,1865,197,3279,276,1726,1686
BRA,,2019-12-01T00:00:00Z,1720,1755,203,3033,239,1537,1584
BRA,,2019-12-02T00:00:00Z,2204,2199,195,3782,426,2028,2019
BRA,,2019-12-03T00:00:00Z,2226,2228,213,3764,477,2043,2054
BRA,,2019-12-04T00:00:00Z,2203,2218,193,3755,473,2034,2047
BRA,,2019-12-05T00:00:00Z,2200,2207,210,3696,501,2016,2019
BRA,,2019-12-06T00:00:00Z,2293,2316,201,3921,487,2125,2143
BRA,,2019-12-07T00:00:00Z,1950,1908,210,3350,298,1766,1714
BRA,,2019-12-08T00:00:00Z,1738,1776,202,3066,246,1552,1598
BRA,,2019-12-09T00:00:00Z,2203,2187,202,3767,421,2017,1997
BRA,,2019-12-10T00:00:00Z,2185,2179,216,3718,430,2000,2011
BRA,,2019-12-11T00:00:00Z,2205,2223,194,3728,506,2040,2050
BRA,,2019-12-12T00:00:00Z,2310,2343,221,3886,546,2120,2145
BRA,,2019-12-13T00:00:00Z,2271,2288,210,3849,500,2088,2106
BRA,,2019-12-14T00:00:00Z,1975,1914,212,3381,296,1785,1714
BRA,,2019-12-15T00:00:00Z,1798,1855,209,3163,281,1602,1666
BRA,,2019-12-16T00:00:00Z,2234,2225,197,3849,413,2040,2037
BRA,,2019-12-17T00:00:00Z,2227,2230,226,3774,457,2030,2034
BRA,,2019-12-18T00:00:00Z,2268,2292,210,3848,502,2084,2111
BRA,,2019-12-19T00:00:00Z,2378,2350,218,3933,577,2183,2157
BRA,,2019-12-20T00:00:00Z,2346,2378,205,3945,574,2157,2195
BRA,,2019-12-21T00:00:00Z,2034,1998,217,3500,315,1832,1782
BRA,,2019-12-22T00:00:00Z,1812,1838,207,3188,255,1607,1645
BRA,,2019-12-23T00:00:00Z,2155,2121,207,3706,363,1960,1929
BRA,,2019-12-24T00:00:00Z,1978,1926,215,3463,226,1787,1740
BRA,,2019-12-25T00:00:00Z,1507,1576,170,2745,168,1348,1414
BRA,,2019-12-26T00:00:00Z,2219,2224,212,3689,542,2021,2023
BRA,,2019-12-27T00:00:00Z,2252,2272,196,3779,549,2062,2078
BRA,,2019-12-28T00:00:00Z,1997,2013,201,3422,387,1799,1800
BRA,,2019-12-29T00:00:00Z,1738,1755,188,3081,224,1539,1572
BRA,,2019-12-30T00:00:00Z,2054,2048,198,3542,362,1866,1852
BRA,,2019-12-31T00:00:00Z,1897,1842,205,3315,219,1706,1652
BRA,,2020-01-01T00:00:00Z,1504,1569,172,2722,179,1337,1399
BRA,,2020-01-02T00:00:00Z,2097,2110,192,3622,393,1899,1911
BRA,,2020-01-03T00:00:00Z,2258,2242,195,3907,398,2054,2033
BRA,,2020-01-04T00:00:00Z,1939,1930,216,3387,266,1723,1706
BRA,,2020-01-05T00:00:00Z,1874,1897,198,3265,308,1660,1690
BRA,,2020-01-06T00:00:00Z,2172,2196,218,3821,329,1962,1990
BRA,,2020-01-07T00:00:00Z,2182,2196,223,3859,296,1985,1998
BRA,,2020-01-08T00:00:00Z,2162,2175,198,3817,322,1971,1991
BRA,,2020-01-09T00:00:00Z,2251,2248,221,3927,351,2045,2034
BRA,,2020-01-10T00:00:00Z,2262,2289,206,3969,376,2057,2082
BRA,,2020-01-11T00:00:00Z,1926,1879,219,3388,198,1716,1658
BRA,,2020-01-12T00:00:00Z,1817,1853,191,3199,280,1604,1652
BRA,,2020-01-13T00:00:00Z,2166,2151,204,3773,340,1964,1955
BRA,,2020-01-14T00:00:00Z,2238,2234,232,3882,358,2034,2032
BRA,,2020-01-15T00:00:00Z,2188,2215,207,3836,360,1996,2027
BRA,,2020-01-16T00:00:00Z,2227,2209,227,3842,367,2019,2006
BRA,,2020-01-17T00:00:00Z,2244,2247,209,3895,387,2045,2045
BRA,,2020-01-18T00:00:00Z,1949,1934,222,3404,257,1737,1709
BRA,,2020-01-19T00:00:00Z,1798,1818,193,3194,229,1584,1619
BRA,,2020-01-20T00:00:00Z,2195,2185,216,3777,387,1991,1982
BRA,,2020-01-21T00:00:00Z,2233,2224,219,3884,354,2030,2028
BRA,,2020-01-22T00:00:00Z,2135,2158,196,3795,302,1954,1970
BRA,,2020-01-23T00:00:00Z,2226,2210,220,3860,356,2028,2002
BRA,,2020-01-24T00:00:00Z,2198,2222,210,3881,329,1998,2015
BRA,,2020-01-25T00:00:00Z,1920,1881,214,3358,229,1707,1667
BRA,,2020-01-26T00:00:00Z,1786,1805,193,3196,202,1579,1612
BRA,,2020-01-27T00:00:00Z,2215,2208,203,3833,387,2011,2012
BRA,,2020-01-28T00:00:00Z,2238,2221,225,3850,384,2032,2019
